date,time,open,high,low,close,volume
20260311,1007,316.11,316.15,316.0,316.13,9855
20260311,1008,316.08,316.23,316.05,316.19,39714
20260311,1009,316.18,316.22,316.11,316.2,9071
20260311,1010,316.21,316.21,316.11,316.21,19084
20260311,1011,316.21,316.35,316.2,316.32,15293
20260311,1012,316.32,316.33,316.24,316.3,12185
20260311,1013,316.3,316.33,316.25,316.29,30382
20260311,1014,316.3,316.48,316.25,316.45,152937
20260311,1015,316.45,316.49,316.44,316.48,37169
20260311,1016,316.48,316.49,316.45,316.47,20340
20260311,1017,316.47,316.48,316.44,316.45,14875
20260311,1018,316.45,316.5,316.4,316.47,74821
20260311,1019,316.46,316.48,316.39,316.42,8500
20260311,1020,316.42,316.42,316.35,316.36,26226
20260311,1021,316.37,316.42,316.32,316.39,52395
20260311,1022,316.39,316.42,316.37,316.38,8635
20260311,1023,316.38,316.38,316.25,316.38,29661
20260311,1024,316.34,316.64,316.32,316.59,273550
20260311,1025,316.61,316.85,316.59,316.85,81494
20260311,1026,316.84,316.87,316.83,316.83,103303
20260311,1027,316.84,316.87,316.81,316.85,88859
20260311,1028,316.86,316.86,316.81,316.85,25346
20260311,1029,316.85,316.87,316.73,316.79,128003
20260311,1030,316.79,316.81,316.63,316.68,29599
20260311,1031,316.68,316.68,316.62,316.65,10093
20260311,1032,316.65,316.65,316.53,316.57,23634
20260311,1033,316.59,316.68,316.58,316.67,32619
20260311,1034,316.67,316.78,316.62,316.68,21125
20260311,1035,316.7,316.77,316.6,316.75,32402
20260311,1036,316.75,316.79,316.7,316.72,18384
20260311,1037,316.73,316.8,316.7,316.8,25550
20260311,1038,316.79,316.8,316.61,316.68,86822
20260311,1039,316.68,316.8,316.66,316.8,33912
20260311,1040,316.79,316.79,316.75,316.76,8743
20260311,1041,316.76,316.76,316.66,316.68,14960
20260311,1042,316.68,316.69,316.6,316.6,43892
20260311,1043,316.6,316.6,316.4,316.45,65693
20260311,1044,316.47,316.59,316.39,316.53,39165
20260311,1045,316.56,316.56,316.38,316.38,30518
20260311,1046,316.39,316.41,316.25,316.37,30418
20260311,1047,316.34,316.35,316.24,316.3,23661
20260311,1048,316.31,316.31,316.23,316.26,5159
20260311,1049,316.29,316.33,316.26,316.29,4744
20260311,1050,316.3,316.4,316.28,316.35,12247
20260311,1051,316.3,316.32,316.21,316.26,20414
20260311,1052,316.29,316.34,316.29,316.33,109492
20260311,1053,316.34,316.39,316.33,316.35,9097
20260311,1054,316.35,316.41,316.34,316.4,22416
20260311,1055,316.41,316.49,316.4,316.46,18308
20260311,1056,316.47,316.49,316.45,316.46,33770
20260311,1057,316.48,316.53,316.46,316.52,70628
20260311,1058,316.53,316.55,316.52,316.55,6004
20260311,1059,316.55,316.58,316.54,316.58,11521
20260311,1100,316.56,316.68,316.56,316.57,20974
20260311,1101,316.57,316.57,316.5,316.51,56649
20260311,1102,316.52,316.57,316.5,316.53,23744
20260311,1103,316.57,316.57,316.5,316.5,14418
20260311,1104,316.51,316.51,316.5,316.5,17914
20260311,1105,316.5,316.53,316.5,316.5,9790
20260311,1106,316.5,316.51,316.5,316.51,6825
20260311,1107,316.51,316.53,316.47,316.47,19161
20260311,1108,316.47,316.48,316.23,316.3,28243
20260311,1109,316.31,316.31,316.15,316.17,15584
20260311,1110,316.16,316.25,316.16,316.16,5040
20260311,1111,316.19,316.19,315.98,315.99,53271
20260311,1112,316.0,316.01,315.99,316.01,17712
20260311,1113,316.01,316.01,315.91,315.96,11378
20260311,1114,315.97,315.99,315.85,315.97,64432
20260311,1115,315.96,315.96,315.93,315.95,20363
20260311,1116,315.95,315.99,315.94,315.98,25639
20260311,1117,315.98,316.08,315.98,316.07,37673
20260311,1118,316.07,316.07,316.0,316.07,10311
20260311,1119,316.07,316.07,315.6,315.95,109202
20260311,1120,315.96,315.98,315.72,315.86,62631
20260311,1121,315.87,315.9,315.79,315.88,27957
20260311,1122,315.88,315.9,315.82,315.89,18534
20260311,1123,315.88,316.14,315.86,316.12,61307
20260311,1124,316.14,316.22,316.13,316.22,9717
