date,open,high,low,close,volume
20211220,293.11,298.1,285.63,293.89,301680440
20211227,294.76,297.55,291.33,293.49,153834820
20220103,295.9,310.1,281.0,293.92,252852140
20220110,295.52,298.88,249.2,261.0,825980410
20220117,262.15,264.01,221.03,246.9,1718509040
20220124,246.51,262.0,226.0,257.82,1288753880
20220131,258.98,273.1,250.06,256.53,774994570
20220207,256.99,282.3,253.52,260.83,834770620
20220214,256.69,281.0,245.0,250.28,1357679090
20220221,249.15,258.32,89.59,131.12,3256172040
20220321,131.0,156.2,128.2,131.5,217127300
20220328,130.6,155.4,122.0,154.5,378532340
20220404,158.76,169.9,140.65,143.72,462611740
20220411,144.09,146.98,125.12,130.88,253193380
20220418,131.41,132.68,115.36,116.97,303124650
20220425,116.0,134.5,111.5,128.8,455759970
20220502,129.1,131.5,121.52,123.1,140274500
20220509,123.0,126.05,118.05,120.2,86554920
20220516,120.9,131.3,119.5,122.2,206005020
20220523,121.5,125.99,117.1,121.22,221323420
20220530,121.6,123.0,117.0,119.21,175837350
20220606,119.26,122.19,117.32,118.07,140815930
20220613,118.03,125.18,115.8,123.88,174482890
20220620,124.1,138.4,123.6,137.76,362422020
20220627,137.7,142.35,122.5,129.91,332118680
20220704,129.0,137.1,127.16,133.3,217439030
20220711,132.8,133.9,124.2,128.9,243571100
20220718,130.0,130.64,122.24,128.82,202732900
20220725,128.9,134.79,127.24,131.9,216759960
20220801,131.77,131.77,122.24,122.4,200014270
20220808,126.11,127.38,122.3,124.88,181697110
20220815,124.56,127.44,123.28,125.2,129627750
20220822,125.0,131.64,124.7,130.4,204710520
20220829,130.12,144.9,129.52,143.8,391280770
20220905,143.5,145.1,134.0,138.15,341891000
20220912,137.07,141.39,135.2,137.73,288074930
20220919,137.4,139.08,109.27,119.39,582231430
20220926,114.0,117.99,103.4,110.21,518645690
20221003,110.62,115.5,101.3,101.5,390673530
20221010,96.55,109.19,96.5,107.78,357221040
20221017,107.93,119.94,107.65,119.45,474150020
20221024,120.15,127.5,117.65,126.97,458766560
20221031,127.2,128.6,123.75,125.75,185520500
20221107,127.09,138.42,126.42,136.98,473685730
20221114,137.5,141.0,130.86,136.89,398391230
20221121,136.01,138.41,132.51,136.53,253732490
